VRLOG
Date	Time	U panels	U acku	I out	I in	P out	P in
2014-7-21	13:11:34	32.529613	12.388316	3.428056	4.592285	42.467842	149.385254

2014-7-21	13:12:04	32.529617	12.390285	3.517771	4.599609	43.586185	149.623535

2014-7-21	13:12:34	32.527767	12.390285	3.353687	4.584961	41.553143	149.138535

2014-7-21	13:13:04	32.533314	12.398164	3.243905	4.587402	40.218460	149.243393

2014-7-21	13:13:34	32.535164	12.372559	3.278137	4.592285	40.558949	149.410751

2014-7-21	13:14:04	32.529613	12.372559	3.477636	4.382324	43.027252	142.555313

2014-7-21	13:14:35	32.537010	12.352859	3.463470	4.370117	42.783756	142.190552

2014-7-21	13:15:05	32.535160	12.352859	3.322995	4.433594	41.048496	144.247681

2014-7-21	13:15:35	32.535164	12.360739	3.212032	4.565430	39.703087	148.537003

2014-7-21	13:16:05	32.531460	12.384376	3.225017	4.421387	39.939823	143.834167

2014-7-21	13:16:35	32.540707	12.384376	3.249807	4.448242	40.246826	144.748947

2014-7-21	13:17:05	32.538857	12.396194	3.370213	4.465332	41.777821	145.296799

2014-7-21	13:17:35	32.538857	12.394224	3.194325	4.448242	39.591175	144.740707

2014-7-21	13:18:05	32.540707	12.392255	3.173077	4.448242	39.321575	144.748947

2014-7-21	13:18:35	32.537010	12.396194	3.177799	4.650879	39.392609	151.325699

2014-7-21	13:19:05	32.540707	12.396194	3.227378	4.606934	40.007206	149.912872

2014-7-21	13:19:35	32.535160	12.400134	3.228558	4.621582	40.034557	150.363907

2014-7-21	13:20:05	32.540707	12.396194	3.352506	4.589844	41.558315	149.356766

2014-7-21	13:20:35	32.535164	12.404073	3.391462	4.558105	42.067936	148.298706

2014-7-21	13:21:05	32.540707	12.392256	3.441041	4.331055	42.642262	140.935577

2014-7-21	13:21:35	32.538857	12.386346	3.398544	4.340820	42.095547	141.245331

2014-7-21	13:22:05	32.540707	12.386346	3.256889	4.382324	40.340958	142.603928

2014-7-21	13:22:35	32.538860	12.404074	3.234461	4.487305	40.120495	146.011780

2014-7-21	13:23:05	32.538860	12.406043	3.188423	4.455566	39.555714	144.979050

2014-7-21	13:23:35	32.538860	12.402103	3.171896	4.438477	39.338188	144.422974

2014-7-21	13:24:05	32.540707	12.390285	3.156550	4.470215	39.110561	145.463943

2014-7-21	13:24:35	32.537010	12.382406	3.341882	4.326172	41.380539	140.760696

2014-7-21	13:25:06	32.537010	12.388316	3.334800	4.431152	41.312553	144.176453

2014-7-21	13:25:36	32.538857	12.398164	3.147107	4.433594	39.018345	144.264069

2014-7-21	13:26:06	32.538860	12.388316	3.153009	4.226074	39.060467	137.511642

2014-7-21	13:26:36	32.538857	12.394224	3.344244	4.379883	41.449303	142.516373

2014-7-21	13:27:06	32.540707	12.400134	3.190784	4.289551	39.566151	139.585007

2014-7-21	13:27:36	32.535164	12.402103	3.102249	4.230957	38.474419	137.654877

2014-7-21	13:28:06	32.537010	12.400134	3.122317	4.238281	38.717152	137.901001

2014-7-21	13:28:36	32.537010	12.398164	3.117595	4.426270	38.652454	144.017578

2014-7-21	13:29:06	32.537010	12.400134	3.083362	4.387207	38.234097	142.746597

2014-7-21	13:29:36	32.535164	12.398164	3.191965	4.377441	39.574505	142.420776

2014-7-21	13:30:06	32.540707	12.402103	3.384379	4.421387	41.973419	143.875046

2014-7-21	13:30:36	32.535164	12.400134	3.235641	4.545898	40.122383	147.901550

2014-7-21	13:31:06	32.537010	12.406043	3.217934	4.311523	39.921833	140.284088

2014-7-21	13:31:36	32.535164	12.400134	3.114054	4.091797	38.614685	133.127289

2014-7-21	13:32:06	32.533310	12.396194	3.088084	4.157715	38.280491	135.264221

2014-7-21	13:32:36	32.529617	12.392255	3.292304	4.116211	40.799068	133.898773

2014-7-21	13:33:06	32.537010	12.406043	3.253348	4.250488	40.361176	138.298187

2014-7-21	13:33:36	32.531467	12.396194	3.313551	4.318848	41.075424	140.498459

2014-7-21	13:34:06	32.531467	12.382405	3.335980	4.250488	41.307461	138.274628

2014-7-21	13:34:36	32.529613	12.400134	3.317093	4.331055	41.132401	140.887527

2014-7-21	13:35:06	32.537010	12.409983	3.273416	4.394531	40.623032	142.984909

2014-7-21	13:35:37	32.533314	12.404073	3.217934	4.218750	39.915489	137.249924

2014-7-21	13:36:07	32.529613	12.404073	3.073918	4.196777	38.129105	136.519547

2014-7-21	13:36:37	32.535164	12.404073	3.169535	4.157715	39.315144	135.271927

2014-7-21	13:37:07	32.537010	12.400133	3.308830	4.230957	41.029930	137.662689

2014-7-21	13:37:37	32.531464	12.404074	3.334800	4.182129	41.365105	136.050781

2014-7-21	13:38:07	32.533314	12.408013	3.265152	4.296875	40.514053	139.791580

2014-7-21	13:38:37	32.535164	12.402103	3.096347	4.108887	38.401218	133.683304

2014-7-21	13:39:07	32.533314	12.398164	3.190784	4.179688	39.559860	135.979080

2014-7-21	13:39:37	32.533310	12.402103	3.289943	4.160156	40.802212	135.343658

2014-7-21	13:40:07	32.531467	12.402105	3.207310	4.194336	39.777397	136.447906

2014-7-21	13:40:37	32.520378	12.408013	3.088084	4.311523	38.316990	140.212372

2014-7-21	13:41:07	32.531467	12.390285	3.069196	4.140625	38.028221	134.700607

2014-7-21	13:41:37	32.527767	12.392255	3.098707	4.094238	38.399971	133.176422

2014-7-21	13:42:07	32.520370	12.392254	3.099889	4.421387	38.414604	143.785141

2014-7-21	13:42:37	32.514828	12.413922	3.226197	4.694824	40.049763	152.651398

2014-7-21	13:43:07	32.522217	12.408013	3.247445	4.326172	40.294346	140.696701

2014-7-21	13:43:37	32.511135	12.406043	3.260431	4.162598	40.449047	135.330780

2014-7-21	13:44:07	32.505589	12.408013	3.255708	4.106445	40.396873	133.482422

2014-7-21	13:44:37	32.509285	12.408013	3.056211	4.125977	37.921505	134.132553

