VRLOG
Date	Time	U panels	U acku	I out	I in	P out	P in
2014-7-21	15:17:46	32.524067	12.408013	4.091475	3.671875	50.767071	119.424309

2014-7-21	15:18:16	32.522221	12.408013	4.095016	3.632812	50.811012	118.147133

2014-7-21	15:18:46	32.524067	12.408013	4.132791	3.652344	51.279720	118.789070

2014-7-21	15:19:16	32.525921	12.408013	4.063144	3.625488	50.415543	117.922348

2014-7-21	15:19:47	32.520374	12.406043	3.883713	3.532715	48.181511	114.885208

2014-7-21	15:20:17	32.529613	12.409983	3.903782	3.737793	48.445866	121.588959

